,="["&(COLUMN(B1)-2)*10&".."&(COLUMN(B1)-1)*10&")"
630102001,
630102301,0,1,
630102302,0,1,
630102303,
630102304,1,
630102305,0,1,
630102306,
630102307,
630102308,
630102309,0,2,
630102310,
630102311,
630102312,0,1,
630102313,
630102314,
630102315,
630102316,
630102317,
630102318,0,1,
630102319,0,1,
630102320,
630102321,
630102322,0,1,
630102323,
630102324,
630102325,
630102326,
630102327,
630102328,
630102329,
630102330,1,
630102331,0,1,1,
630102332,
630102333,0,1,
630102334,
630102335,
630102336,
630102337,0,3,
630102338,0,1,
630102339,0,1,
630102340,
630102341,0,1,
630102342,0,1,
630102401,0,1,
630102402,0,1,
630102403,
630102404,0,0,1,
630102405,
630102406,
630102407,0,1,
630102501,
630102502,
630102503,
630102504,
630102505,0,1,
630102506,
630102507,0,1,
630102508,
630102509,
630102510,
630102511,
630102512,0,1,
630102513,0,1,
630102601,
630102701,
630102702,
630102703,0,0,1,
630102704,
630102705,
630102706,
630102707,0,0,1,
630102708,0,1,
630102709,
630102710,
630102901,0,1,
632523101,0,1,
632523102,0,0,1,
632523103,
632523104,1,
632523105,
632523106,0,2,
632523107,
632523108,
632523109,
632523110,
632523111,0,1,
632523112,
632523113,
632523114,0,0,1,
632523115,0,1,
632523116,
632523117,
632523118,
632523119,0,1,
632523120,0,1,
632523121,
632523122,
632523123,1,
632523124,0,0,1,
632523125,
632523126,1,
632523127,0,1,
632523128,
632523129,
632523130,1,
632523131,0,2,
632523132,0,1,
632523133,0,1,1,
632523134,
632523135,
632523136,0,0,1,
632523137,0,1,
632523138,
632523139,
632523140,
632523141,
632523142,1,0,1,
632523143,
632523144,2,
632523145,
632523146,
632523147,1,
632523148,0,2,
632523149,
632523150,0,1,
632523151,1,1,
632523152,
632523153,
632523154,
632523155,
632523156,
632523157,
632523158,
632523159,
632523160,0,1,
632523161,0,1,
632523162,
632523163,0,1,
632523164,
632523165,0,1,
632523166,
632523167,
632523168,
632523169,
632523170,
632523171,0,1,
632523172,
632523173,
632523174,
632523175,0,1,
632523176,
632523177,0,1,
632523178,0,1,
632523179,
632523180,
632523181,
632523182,
632523183,
632523184,0,0,1,
632523185,
632523186,
632523187,
632523188,
632523189,1,
632523190,0,0,1,
632523191,0,1,
632523192,
632523193,
632523194,
632523195,
632523196,0,1,
632523197,
632523198,0,1,
632523199,0,1,
632523200,
632523201,1,
632523202,
632523203,
632523204,0,1,
632523205,
632523206,
