,="["&(COLUMN(B1)-2)*10&".."&(COLUMN(B1)-1)*10&")"
630102001,23,6,7,3,3,
630102301,29,8,7,4,9,1,
630102302,14,9,3,2,3,2,
630102303,20,3,8,6,2,3,
630102304,9,6,6,3,3,1,
630102305,21,8,6,5,4,3,
630102306,14,10,0,5,3,1,
630102307,16,8,3,6,4,3,
630102308,20,4,6,7,2,1,1,
630102309,18,9,1,1,1,0,1,
630102310,18,11,5,7,1,3,
630102311,16,7,3,6,2,
630102312,13,10,4,5,10,2,
630102313,23,3,8,5,4,1,1,
630102314,23,8,5,9,1,
630102315,22,8,6,5,1,1,
630102316,31,7,7,2,4,1,
630102317,28,12,4,6,6,2,
630102318,17,7,9,3,1,0,1,
630102319,12,6,7,3,2,2,
630102320,11,9,10,2,6,1,
630102321,19,6,7,4,1,5,
630102322,23,10,4,4,5,
630102323,20,7,5,6,3,3,
630102324,28,6,4,4,2,3,
630102325,18,5,4,4,2,
630102326,20,11,1,3,4,
630102327,18,6,7,3,1,2,
630102328,21,3,10,3,8,
630102329,19,6,1,3,2,1,
630102330,17,10,6,4,3,2,
630102331,20,8,4,6,2,
630102332,15,2,2,6,1,
630102333,14,5,6,1,6,1,
630102334,19,9,9,3,3,
630102335,18,3,3,5,4,1,
630102336,23,9,4,3,3,1,
630102337,23,10,5,11,4,1,
630102338,19,7,5,2,2,1,
630102339,21,8,9,5,1,
630102340,15,6,7,4,2,2,2,
630102341,31,6,2,1,3,1,
630102342,21,5,6,1,4,0,1,
630102401,17,8,11,3,7,0,1,
630102402,19,9,0,6,1,1,
630102403,14,8,10,10,3,
630102404,24,11,5,1,6,
630102405,15,10,5,0,5,3,1,
630102406,25,4,0,7,6,1,
630102407,20,4,1,5,4,1,
630102501,15,2,6,5,2,
630102502,19,8,4,1,4,
630102503,18,7,7,6,5,1,
630102504,20,12,3,5,3,
630102505,22,2,4,1,5,
630102506,13,4,2,6,6,1,
630102507,29,4,10,6,3,2,
630102508,16,4,4,3,4,4,
630102509,14,6,6,5,5,2,
630102510,16,9,10,6,6,
630102511,21,3,7,2,4,1,
630102512,21,9,3,6,2,2,
630102513,21,3,3,8,2,1,
630102601,19,14,3,3,6,2,
630102701,23,9,4,2,2,1,
630102702,13,7,3,2,1,2,1,
630102703,18,4,1,5,3,3,
630102704,14,4,3,5,2,2,
630102705,14,11,8,1,4,1,
630102706,26,4,4,5,1,
630102707,17,8,2,2,5,1,
630102708,15,7,8,4,2,1,
630102709,19,6,6,6,2,1,
630102710,18,7,7,3,0,2,
630102901,28,5,4,4,3,0,1,
632523101,16,4,3,0,2,
632523102,12,8,3,4,1,4,
632523103,14,6,0,8,1,3,
632523104,17,8,8,2,3,
632523105,24,8,3,4,5,1,1,
632523106,15,7,4,6,0,3,
632523107,25,7,4,3,3,1,
632523108,24,9,2,7,2,1,
632523109,25,4,5,4,8,
632523110,22,8,4,4,2,2,
632523111,17,6,5,3,4,1,
632523112,10,6,8,0,2,
632523113,22,11,8,5,5,
632523114,13,4,1,5,2,1,
632523115,15,4,2,3,2,
632523116,20,6,3,4,2,
632523117,17,5,6,8,2,
632523118,19,4,9,1,3,1,
632523119,19,7,7,4,6,1,
632523120,23,3,4,2,4,1,
632523121,23,2,6,1,0,3,
632523122,18,2,5,2,2,1,
632523123,13,4,1,3,2,3,
632523124,16,3,3,3,4,
632523125,28,4,2,5,2,3,
632523126,22,4,10,2,4,1,
632523127,17,1,4,6,5,1,
632523128,16,3,2,7,2,1,
632523129,17,4,2,4,2,4,1,
632523130,14,5,6,6,2,2,
632523131,19,9,3,5,1,1,
632523132,24,6,7,5,3,0,1,
632523133,24,13,3,3,4,1,
632523134,25,7,3,5,0,1,
632523135,24,4,6,0,2,1,
632523136,17,10,2,4,3,1,
632523137,24,10,5,4,1,1,
632523138,22,9,1,1,5,
632523139,18,3,7,6,4,2,
632523140,13,9,7,4,2,
632523141,19,14,3,7,2,1,
632523142,19,3,2,3,5,
632523143,22,8,8,4,8,5,
632523144,15,6,6,2,1,2,
632523145,13,11,3,6,2,1,
632523146,18,6,1,7,4,1,
632523147,24,8,4,5,4,1,1,
632523148,12,3,7,3,2,
