deviceID,total points,overflow points,overflow percentage, overflow time(ms)
630102001,110,49,0.44545454545454544,451037469
630102301,102,53,0.5196078431372549,491809914
630102302,119,60,0.5042016806722689,563875755
630102303,117,77,0.6581196581196581,706147162
630102304,108,52,0.48148148148148145,481567994
630102305,106,59,0.5566037735849056,556649795
630102306,123,67,0.5447154471544715,622327668
630102307,121,66,0.5454545454545454,608335456
630102308,112,55,0.49107142857142855,519131427
630102309,114,54,0.47368421052631576,503804271
630102310,115,48,0.41739130434782606,459350532
630102311,109,56,0.5137614678899083,517546358
630102312,110,49,0.44545454545454544,457131303
630102313,97,49,0.5051546391752577,449211839
630102314,90,41,0.45555555555555555,393527772
630102315,99,44,0.4444444444444444,417488575
630102316,83,43,0.5180722891566265,390442412
630102317,118,55,0.4661016949152542,506357744
630102318,99,56,0.5656565656565656,520254295
630102319,104,53,0.5096153846153846,488476136
630102320,114,63,0.5526315789473685,592798924
630102321,106,45,0.42452830188679247,419624489
630102322,114,51,0.4473684210526316,486263924
630102323,110,50,0.45454545454545453,467967469
630102324,112,57,0.5089285714285714,516237186
630102325,113,61,0.5398230088495575,560138360
630102326,97,41,0.422680412371134,382478622
630102327,100,47,0.47,435546285
630102328,115,58,0.5043478260869565,547589773
630102329,113,58,0.5132743362831859,542907765
630102330,103,54,0.5242718446601942,516603485
630102331,108,58,0.5370370370370371,543441205
630102332,128,58,0.453125,533044743
630102333,113,55,0.48672566371681414,512960463
630102334,117,64,0.5470085470085471,583233288
630102335,109,50,0.45871559633027525,468109833
630102336,106,46,0.4339622641509434,424645712
630102337,113,53,0.4690265486725664,485942669
630102338,112,59,0.5267857142857143,534114121
630102339,109,44,0.4036697247706422,409199728
630102340,98,47,0.47959183673469385,432169812
630102341,116,52,0.4482758620689655,495859306
630102342,94,39,0.4148936170212766,358347135
630102401,108,41,0.37962962962962965,381824003
630102402,97,42,0.4329896907216495,396802115
630102403,103,41,0.39805825242718446,379644920
630102404,127,55,0.4330708661417323,508967357
630102405,121,61,0.5041322314049587,570157392
630102406,109,55,0.5045871559633027,513110695
630102407,100,46,0.46,431281271
630102501,130,63,0.4846153846153846,587605851
630102502,115,66,0.5739130434782609,598640938
630102503,106,52,0.49056603773584906,487422918
630102504,110,61,0.5545454545454546,565730617
630102505,108,47,0.4351851851851852,440442363
630102506,109,50,0.45871559633027525,479166763
630102507,106,43,0.4056603773584906,408003707
630102508,98,53,0.5408163265306123,476577618
630102509,102,56,0.5490196078431373,519526923
630102510,103,44,0.42718446601941745,393462882
