,="["&(COLUMN(B1)-2)*10&".."&(COLUMN(B1)-1)*10&")"
630102001,
630102301,
630102302,
630102303,
630102304,
630102305,
630102306,
630102307,
630102308,
630102309,
630102310,
630102311,
630102312,
630102313,
630102314,
630102315,
630102316,
630102317,
630102318,
630102319,0,1,
630102320,
630102321,
630102322,
630102323,
630102324,
630102325,
630102326,
630102327,
630102328,
630102329,
630102330,
630102331,
630102332,
630102333,0,1,
630102334,0,1,
630102335,
630102336,
630102337,1,
630102338,0,1,
630102339,
630102340,
630102341,
630102342,
630102401,
630102402,
630102403,
630102404,
630102405,
630102406,
630102407,
630102501,
630102502,
630102503,
630102504,
630102505,
630102506,
630102507,0,1,
630102508,
630102509,
630102510,
630102511,
630102512,
630102513,
630102601,
630102701,
630102702,
630102703,
630102704,
630102705,
630102706,
630102707,
630102708,
630102709,
630102710,
630102901,
632523101,
632523102,
632523103,
632523104,
632523105,
632523106,
632523107,
632523108,
632523109,
632523110,
632523111,
632523112,
632523113,
632523114,
632523115,0,1,
632523116,
632523117,
632523118,
632523119,
632523120,
632523121,
632523122,
632523123,
632523124,
632523125,
632523126,
632523127,
632523128,
632523129,
632523130,
632523131,
632523132,
632523133,
632523134,
632523135,0,1,
632523136,
632523137,
632523138,
632523139,
632523140,
632523141,
632523142,0,1,
632523143,
632523144,
632523145,
632523146,
632523147,
632523148,
632523149,
632523150,0,1,
632523151,
632523152,
632523153,0,1,
632523154,
632523155,
632523156,
632523157,
632523158,
632523159,
632523160,
632523161,
632523162,
632523163,
632523164,
632523165,
632523166,
632523167,
632523168,
632523169,
632523170,
632523171,
632523172,
632523173,0,1,
632523174,
632523175,
632523176,
632523177,
632523178,
632523179,
632523180,
632523181,
632523182,
632523183,
632523184,
632523185,
632523186,
632523187,
632523188,
632523189,
632523190,
632523191,
632523192,
632523193,
632523194,
632523195,
632523196,
632523197,
632523198,
632523199,0,1,
632523200,
632523201,
632523202,
632523203,
632523204,
632523205,
632523206,
632523207,
632523208,
632523209,
632523210,
632523211,
632523212,
632523213,
632523214,
632523215,
632523216,
632523217,
632523218,
632523219,
632523220,0,1,
632523221,
632523222,
632523223,
632523224,
632523225,
632523226,
632523227,
632523228,
632523229,
632523230,
632523231,
632523232,0,1,
632523233,0,1,
632523234,
632523235,
632523236,
632523237,
632523238,
632523239,
632523240,
632523241,
632523242,
632523243,
632523244,
632523245,
632523246,
632523247,
632523248,
632523249,
632523250,0,1,
632523251,
632523252,
632523253,
632523254,
632523255,
632523256,
632523257,
632523258,
632523259,0,1,
632523260,
632523261,
632523262,
632523263,
632523264,
632523265,
632523266,
632523267,
632523268,
632523269,
632523270,
632523271,
632523272,
632523273,
632523274,
632523275,
632523276,
632523277,
632523278,
632523279,
632523280,
632523281,
632523282,
632523283,
632523284,
632523285,
632523286,
632523287,
632523288,
632523289,0,1,
632523290,
632523291,
632523292,
632523293,
632523294,
632523295,
632523296,
632523297,
632523298,
632523299,
632523300,
632523301,
632523302,0,1,
632523303,
632523304,
632523305,
632523306,0,1,
632523307,
632523308,
632523309,
632523310,
632523311,0,1,
632523312,
632523313,
632523314,
632523315,
632523316,
632523317,0,1,
632523318,
632523319,
632523320,
632523321,
632523322,
632523323,
632523324,
632523325,
632523326,
632523327,
632523328,
632523329,0,1,
632523330,
632523331,
632523332,
632523333,
632523334,
632523335,
632523336,
632523337,
632523338,
632523339,
632523340,
632523501,
632523502,
632523503,
632523504,
632523505,
632523506,
632523507,
632523508,
632523509,
632523510,
632523511,
632523512,
632523513,
632523514,
632523515,
632523516,
632523517,
632523518,
632523519,
632523520,
632523521,
632523522,
632523523,
632523524,
632523525,
632523526,
632523527,
632523528,
632523529,
632523530,
632523531,
632523532,
632523533,
632523534,
632523535,
632523536,
632523537,
632523538,
632523539,
632523540,
632523601,
632523602,
632523603,
632523604,
632523605,
632523606,
632523607,
632523608,
632523609,
632523610,
632523611,0,1,
632523612,
632523613,
632523614,
632523615,
632523616,
632523617,
632523618,
632523619,
632523620,
632523901,
632523902,
632523903,
632523904,
632523905,
632523906,
632523907,
632523908,
632523909,
632523910,
632626901,
632627901,
632701901,
632702901,
632812101,
632812102,
632812103,
632812104,
632812105,
632812106,
632812107,
632812108,
632812109,0,1,
632812110,
632812111,
632812112,
632812113,
632812201,
632812202,
632812203,
632812204,
632812205,
632812206,
632812207,
632812208,0,1,
632812209,
632812210,0,1,
632812211,
632812212,
632812213,
632812214,
632812215,
632812216,
632812217,
632812218,
632812219,
632812220,
632812221,
632812222,0,1,
632812223,
632812224,
632812225,
632812226,
632812227,
632812228,
632812229,
632812230,
632812231,
632812232,
632812233,
632812234,
632812235,
632812236,
632812237,
632812238,
632812239,
632812240,
632812241,
632812242,
632812243,
632812244,
632812245,
632812246,
632812247,
632812248,
632812249,
632812250,
632812251,
632812252,
632812253,
632812254,
632812255,
632812256,
632812257,
632812258,
632812259,0,1,
632812260,
632812261,0,1,
632812262,
632812263,
632812264,
632812265,
632812266,
632812267,
632812268,1,
632812269,
632812270,
632812271,
632812272,
632812273,
632812274,
632812275,
632812276,
632812277,
632812278,
632812279,
632812280,
632812281,
632812282,
632812283,
632812284,
632812285,
632812286,
632812287,
632812288,
632812289,
632812290,
632812291,
632812292,
632812293,
632812294,
632812295,
632812296,
632812297,
632812298,
632812299,
632812300,
632812301,
632812302,
632812303,
632812304,
632812305,
632812306,0,1,
632812307,
632812308,
632812309,
632812310,
632812311,
632812312,
632812313,0,1,
632812314,
632812315,0,1,
632812316,
632812317,
632812318,
632812319,
632812320,
632812321,
632812322,
632812323,0,1,
632812324,
632812325,
632812326,
632812327,
