deviceID,total points,overflow points,overflow percentage, overflow time(ms)
630102001,125,34,0.272,13631038
630102301,140,26,0.18571428571428572,10089697
630102302,162,33,0.2037037037037037,15276835
630102303,183,53,0.2896174863387978,23367801
630102304,143,42,0.2937062937062937,18111546
630102305,160,36,0.225,14549403
630102306,151,36,0.23841059602649006,14093463
630102307,156,44,0.28205128205128205,19181434
630102308,161,43,0.2670807453416149,18642871
630102309,168,58,0.34523809523809523,24251642
630102310,164,37,0.22560975609756098,14986663
630102311,165,36,0.21818181818181817,15202277
630102312,158,42,0.26582278481012656,18023623
630102313,153,44,0.2875816993464052,16665135
630102314,138,35,0.2536231884057971,16222446
630102315,162,45,0.2777777777777778,18065541
630102316,134,32,0.23880597014925373,12143120
630102317,153,44,0.2875816993464052,17132851
630102318,139,35,0.2517985611510791,15312182
630102319,143,38,0.26573426573426573,18438457
630102320,161,44,0.2732919254658385,18363950
630102321,146,41,0.2808219178082192,18029612
630102322,168,37,0.22023809523809523,14919650
630102323,147,34,0.23129251700680273,14039400
630102324,142,35,0.24647887323943662,14418386
630102325,142,38,0.2676056338028169,16443522
630102326,173,45,0.26011560693641617,18136476
630102327,129,28,0.21705426356589147,10430274
630102328,154,34,0.22077922077922077,14542070
630102329,157,39,0.2484076433121019,17124731
630102330,159,43,0.27044025157232704,18663063
630102331,164,36,0.21951219512195122,14478283
630102332,147,37,0.25170068027210885,15785497
630102333,146,35,0.23972602739726026,15525622
630102334,145,34,0.23448275862068965,15628226
630102335,170,35,0.20588235294117646,15361977
630102336,165,44,0.26666666666666666,18133536
630102337,160,44,0.275,17420664
630102338,167,49,0.2934131736526946,19725596
630102339,149,40,0.2684563758389262,18103031
630102340,143,34,0.23776223776223776,14380282
630102341,122,28,0.22950819672131148,12311259
630102342,153,41,0.2679738562091503,18398923
630102401,165,38,0.23030303030303031,16002594
630102402,151,41,0.271523178807947,17954112
630102403,166,41,0.2469879518072289,17330192
630102404,152,40,0.2631578947368421,16257974
630102405,165,32,0.19393939393939394,12204218
630102406,138,39,0.2826086956521739,12641820
630102407,165,55,0.3333333333333333,24731136
630102501,160,43,0.26875,18901710
630102502,172,48,0.27906976744186046,21042285
630102503,160,40,0.25,16202840
630102504,152,32,0.21052631578947367,13920851
630102505,159,38,0.2389937106918239,15587170
630102506,162,49,0.30246913580246915,21391574
630102507,140,35,0.25,14529692
630102508,135,41,0.3037037037037037,16739135
630102509,160,50,0.3125,20331495
630102510,152,35,0.23026315789473684,14169639
630102511,152,38,0.25,15598060
630102512,167,56,0.33532934131736525,25150393
630102513,144,32,0.2222222222222222,13891651
630102601,178,40,0.2247191011235955,17803686
630102701,175,44,0.25142857142857145,20461777
630102702,154,44,0.2857142857142857,17716536
630102703,131,40,0.3053435114503817,15392164
630102704,147,40,0.272108843537415,18134456
630102705,172,44,0.2558139534883721,19184917
630102706,140,35,0.25,14906844
630102707,151,42,0.2781456953642384,16787305
630102708,135,32,0.23703703703703705,13050160
630102709,159,60,0.37735849056603776,23122197
630102710,166,45,0.2710843373493976,18058418
630102901,151,37,0.24503311258278146,16068139
632523101,139,34,0.2446043165467626,13953100
632523102,139,38,0.2733812949640288,15031369
632523103,131,39,0.29770992366412213,17025755
632523104,139,34,0.2446043165467626,12609065
632523105,166,44,0.26506024096385544,18042338
632523106,156,38,0.24358974358974358,16621030
632523107,140,43,0.30714285714285716,19095961
632523108,150,51,0.34,21020795
632523109,152,45,0.29605263157894735,19484681
632523110,167,37,0.2215568862275449,16212581
632523111,164,45,0.27439024390243905,18887153
632523112,146,35,0.23972602739726026,13859702
632523113,155,42,0.2709677419354839,18404021
632523114,132,31,0.23484848484848486,12562252
632523115,135,37,0.2740740740740741,17546376
632523116,128,30,0.234375,13032012
632523117,138,36,0.2608695652173913,16098990
632523118,132,37,0.2803030303030303,15678037
632523119,151,46,0.304635761589404,20466628
632523120,153,44,0.2875816993464052,20471215
632523121,156,43,0.27564102564102566,19414458
632523122,173,39,0.2254335260115607,17702617
632523123,134,29,0.21641791044776118,11628364
632523124,146,44,0.3013698630136986,19311030
632523125,158,43,0.2721518987341772,19622850
632523126,161,40,0.2484472049689441,15177377
632523127,156,42,0.2692307692307692,17982186
632523128,144,43,0.2986111111111111,16744709
632523129,125,37,0.296,16630834
632523130,142,37,0.2605633802816901,14966064
632523131,161,44,0.2732919254658385,18928437
632523132,150,40,0.26666666666666666,17859268
632523133,158,49,0.310126582278481,20830567
632523134,148,50,0.33783783783783783,24348478
632523135,151,44,0.2913907284768212,18682968
632523136,155,42,0.2709677419354839,17084930
632523137,137,33,0.24087591240875914,14922713
632523138,166,43,0.25903614457831325,17126239
632523139,133,22,0.16541353383458646,10514235
632523140,165,48,0.2909090909090909,21181609
632523141,150,37,0.24666666666666667,15182841
632523142,127,41,0.3228346456692913,15522318
632523143,175,45,0.2571428571428571,19256851
632523144,136,38,0.27941176470588236,14501287
632523145,156,39,0.25,17686225
632523146,154,48,0.3116883116883117,20318119
632523147,158,37,0.23417721518987342,17302275
632523148,129,35,0.2713178294573643,15294543
632523149,135,45,0.3333333333333333,18962511
632523150,158,47,0.2974683544303797,18602628
632523151,136,42,0.3088235294117647,19206877
632523152,139,43,0.30935251798561153,18275412
632523153,155,37,0.23870967741935484,14405941
632523154,137,35,0.25547445255474455,15180493
632523155,191,53,0.2774869109947644,25850765
632523156,137,37,0.27007299270072993,17371273
632523157,158,40,0.25316455696202533,18310535
632523158,131,39,0.29770992366412213,15970928
632523159,139,40,0.28776978417266186,17905646
632523160,170,45,0.2647058823529412,17765043
632523161,150,44,0.29333333333333333,18708073
632523162,124,33,0.2661290322580645,13082471
632523163,144,42,0.2916666666666667,17765800
632523164,139,33,0.23741007194244604,14211950
632523165,156,33,0.21153846153846154,15076468
632523166,160,47,0.29375,20607863
632523167,132,38,0.2878787878787879,14422789
632523168,133,32,0.24060150375939848,12393583
632523169,159,36,0.22641509433962265,15363641
632523170,155,35,0.22580645161290322,15169795
632523171,152,45,0.29605263157894735,20218403
632523172,136,33,0.2426470588235294,13961869
632523173,162,49,0.30246913580246915,18862930
632523174,156,39,0.25,15508809
632523175,148,39,0.2635135135135135,17213145
632523176,130,34,0.26153846153846155,13462365
632523177,171,43,0.25146198830409355,20170174
632523178,129,32,0.24806201550387597,14266878
632523179,145,37,0.25517241379310346,14371332
632523180,140,37,0.2642857142857143,15902703
632523181,156,43,0.27564102564102566,19686762
632523182,165,45,0.2727272727272727,19322730
632523183,130,33,0.25384615384615383,13064083
632523184,125,34,0.272,14772956
632523185,181,61,0.3370165745856354,27822383
632523186,145,43,0.296551724137931,18081733
632523187,151,39,0.2582781456953642,16175423
632523188,153,44,0.2875816993464052,19779832
632523189,140,35,0.25,14253612
632523190,123,22,0.17886178861788618,8910683
632523191,144,42,0.2916666666666667,16662130
632523192,146,38,0.2602739726027397,16313377
632523193,151,31,0.2052980132450331,12037547
632523194,168,43,0.25595238095238093,20323236
632523195,171,50,0.29239766081871343,20878033
632523196,116,26,0.22413793103448276,11561887
632523197,115,29,0.25217391304347825,10833999
632523198,145,36,0.2482758620689655,13819883
632523199,128,33,0.2578125,12671545
632523200,143,35,0.24475524475524477,16026196
632523201,136,40,0.29411764705882354,14036269
632523202,129,36,0.27906976744186046,13142985
632523203,136,34,0.25,13921018
632523204,154,38,0.24675324675324675,17342679
632523205,127,27,0.2125984251968504,11432957
632523206,136,31,0.22794117647058823,12920652
632523207,155,36,0.23225806451612904,16829708
632523208,155,41,0.2645161290322581,18752244
632523209,141,42,0.2978723404255319,17986785
632523210,156,40,0.2564102564102564,17217292
632523211,149,42,0.28187919463087246,17221082
632523212,142,36,0.2535211267605634,13914680
632523213,123,34,0.2764227642276423,14050392
632523214,128,39,0.3046875,17345057
632523215,151,32,0.2119205298013245,14222781
