fileID,total points,overflow points,overflow time(ms)
1-1511232886069.bzip2.complete.out,500000,293523,3695767886680
1-1511237065583.bzip2.complete.out,500000,285494,10950972479478
1-1511244402727.bzip2.complete.out,500000,282266,12731673538573
1-1511768463425.bzip2.complete.out,500000,25359,861995749001
1-1511769202061.bzip2.complete.out,500000,3509,3186238919
1-1511769998131.bzip2.complete.out,500000,285,675540190
1-1511770823362.bzip2.complete.out,500000,1189,1252389081
1-1511771452236.bzip2.complete.out,500000,326347,85418765369006
1-1511771839360.bzip2.complete.out,500000,161022,20928546539619
1-1511772285805.bzip2.complete.out,500000,272995,69286684062833
1-1511772777104.bzip2.complete.out,500000,399548,97897150433835
1-1511773243814.bzip2.complete.out,500000,397060,94260690357837
1-1511773674979.bzip2.complete.out,500000,387545,90806473525614
1-1511774125290.bzip2.complete.out,500000,382013,87409892077556
1-1511774462744.bzip2.complete.out,500000,381381,84186711576842
1-1511774890268.bzip2.complete.out,500000,375669,81063692823022
1-1511775335411.bzip2.complete.out,500000,371104,78645502984378
1-1511775727296.bzip2.complete.out,500000,366295,76073293132976
1-1511776166916.bzip2.complete.out,500000,370893,85185515067891
1-1511776649801.bzip2.complete.out,500000,333178,69635146085764
1-1511777047313.bzip2.complete.out,500000,269957,5436215665049
1-1511777552352.bzip2.complete.out,500000,257753,2477813580234
1-1511778206218.bzip2.complete.out,500000,175322,246091586336
1-1511778679601.bzip2.complete.out,500000,276100,803430231014
1-1511779190635.bzip2.complete.out,500000,292928,1918856382866
1-1511779735871.bzip2.complete.out,500000,286130,2852691829276
1-1511780234191.bzip2.complete.out,500000,291709,3422956858199
1-1511780605136.bzip2.complete.out,500000,285148,3623749932784
1-1511781031362.bzip2.complete.out,500000,280131,3998057443129
1-1511781492963.bzip2.complete.out,500000,259572,2560705594607
1-1511781990941.bzip2.complete.out,500000,153973,631087429328
1-1511782642962.bzip2.complete.out,500000,133758,47332908126
1-1511783316051.bzip2.complete.out,500000,145842,53660978793
1-1511784001084.bzip2.complete.out,500000,123009,47640412665
1-1511784648109.bzip2.complete.out,500000,203603,264766557762
1-1511785210306.bzip2.complete.out,500000,268992,1278705450267
1-1511785674606.bzip2.complete.out,500000,388484,84672670639889
1-1511786033699.bzip2.complete.out,500000,429087,119766102908245
1-1511786468315.bzip2.complete.out,500000,428133,108270968770432
1-1511786923003.bzip2.complete.out,500000,322057,77474188220921
1-1511787418111.bzip2.complete.out,500000,246412,63604777578441
1-1511787912184.bzip2.complete.out,500000,248723,60316606210189
1-1511788266743.bzip2.complete.out,500000,249790,57035027093187
1-1511788790321.bzip2.complete.out,500000,249139,53025772003722
1-1511789294594.bzip2.complete.out,500000,248633,45864107457145
1-1511789785890.bzip2.complete.out,500000,248659,34778235599056
1-1511790314671.bzip2.complete.out,500000,248798,27397456672796
1-1511790936877.bzip2.complete.out,500000,246667,18173173540211
1-1511791530256.bzip2.complete.out,500000,249217,18665282401520
1-1511791951808.bzip2.complete.out,500000,247233,18646604737903
1-1511792380495.bzip2.complete.out,500000,247541,18567094590759
1-1511792878586.bzip2.complete.out,500000,247125,18666442994098
1-1511793576940.bzip2.complete.out,500000,248793,18831690038354
1-1511794170339.bzip2.complete.out,500000,247081,19142392275975
1-1511794612912.bzip2.complete.out,500000,240609,18656103813350
1-1511798627198.bzip2.complete.out,500000,236116,17813332622094
1-1511805335971.bzip2.complete.out,500000,234760,17085257127555
1-1511811908188.bzip2.complete.out,500000,232838,16137826618954
1-1511818451143.bzip2.complete.out,500000,234904,15317315106584
1-1511825289789.bzip2.complete.out,500000,230807,14421653394702
1-1511831959888.bzip2.complete.out,500000,244882,14563416063715
1-1511838559161.bzip2.complete.out,500000,245733,13910063556365
1-1511845158250.bzip2.complete.out,500000,248514,12001959485197
1-1511851767010.bzip2.complete.out,500000,244305,6758718021943
1-1511863614343.bzip2.complete.out,500000,242673,728633118297
1-1511873481545.bzip2.complete.out,500000,242538,573851330311
1-1511884133375.bzip2.complete.out,500000,239587,664435877491
1-1511894708404.bzip2.complete.out,500000,243265,772494427974
1-1511905323420.bzip2.complete.out,500000,243082,893102461963
1-1511915960457.bzip2.complete.out,500000,241867,895787227074
1-1511926776044.bzip2.complete.out,498474,245582,1089821825824
1-1511937554236.bzip2.complete.out,485789,242087,1084812274262
1-1511948035484.bzip2.complete.out,482574,233713,1110938485637
1-1511958126359.bzip2.complete.out,482145,234577,1138655605271
1-1511968325115.bzip2.complete.out,483132,236100,1286567743080
1-1511979134793.bzip2.complete.out,482048,233024,1547780171771
1-1511989872574.bzip2.complete.out,482591,236044,1805802041043
1-1512000667626.bzip2.complete.out,483895,238726,2074616206036
1-1512011555129.bzip2.complete.out,484829,237350,2270911922619
1-1512021885681.bzip2.complete.out,485519,239947,2439605386639
1-1512033092240.bzip2.complete.out,483793,240483,2578186068464
1-1512042786765.bzip2.complete.out,482203,238036,2516610446682
1-1512052791781.bzip2.complete.out,482419,238063,2335974910762
1-1512062591731.bzip2.complete.out,484714,239528,2242169831866
1-1512072551857.bzip2.complete.out,487134,241728,2094423674232
1-1512081898602.bzip2.complete.out,487848,240934,1835615118856
1-1512091828911.bzip2.complete.out,489731,236307,1665540765055
1-1512102051063.bzip2.complete.out,491473,240895,1573990279219
1-1512112207471.bzip2.complete.out,488823,235971,1330663753887
1-1512122430822.bzip2.complete.out,486749,237377,852590167605
1-1512131755884.bzip2.complete.out,486469,222584,282269180106
1-1512142053232.bzip2.complete.out,486303,197322,118684323606
1-1512152583586.bzip2.complete.out,486748,195699,103142061521
1-1512163342250.bzip2.complete.out,486941,193818,101607273060
1-1512174082509.bzip2.complete.out,488393,193841,111576721195
1-1512184913245.bzip2.complete.out,485863,194221,114863880888
1-1512195762440.bzip2.complete.out,488057,193257,102763590504
1-1512206702538.bzip2.complete.out,487751,203833,128318353904
1-1512217211282.bzip2.complete.out,486884,209839,150527653248
1-1512227523479.bzip2.complete.out,487247,212771,163227827508
1-1512237797796.bzip2.complete.out,487267,214819,238535633313
1-1512248132460.bzip2.complete.out,486990,222990,208779916571
1-1512258454339.bzip2.complete.out,487621,220655,257137805385
1-1512268534366.bzip2.complete.out,490627,217375,161234157776
1-1512279175218.bzip2.complete.out,490435,222593,245354728809
1-1512289919348.bzip2.complete.out,488682,224677,270640637172
1-1512300626736.bzip2.complete.out,490376,225854,283421979288
1-1512310938416.bzip2.complete.out,490359,222680,287782326113
1-1512321105827.bzip2.complete.out,490692,226766,257911574051
1-1512331283615.bzip2.complete.out,490366,223066,241970686263
1-1512341684691.bzip2.complete.out,490317,218201,216916326186
1-1512352162937.bzip2.complete.out,492344,214883,151670886372
1-1512362572897.bzip2.complete.out,492933,204305,135760281939
1-1512373528256.bzip2.complete.out,489327,207632,160870120214
1-1512384574065.bzip2.complete.out,485688,114666,65329091887
1-1512399264994.bzip2.complete.out,485417,128317,54281004059
1-1512414112276.bzip2.complete.out,485868,119418,41150008275
1-1512428797798.bzip2.complete.out,487583,130398,52837217837
1-1512443598244.bzip2.complete.out,492841,206908,129028189221
1-1512454806334.bzip2.complete.out,490708,212566,165210153779
1-1512465645984.bzip2.complete.out,488857,204802,168353519775
1-1512476715058.bzip2.complete.out,488519,229005,329161723325
1-1512487844366.bzip2.complete.out,488642,227647,496844774221
1-1512498682526.bzip2.complete.out,489445,234509,777921976289
1-1512509955611.bzip2.complete.out,489309,238247,1324256105099
1-1512521765286.bzip2.complete.out,489349,235897,1595698626558
1-1512530074332.bzip2.complete.out,492300,223469,559384417366
1-1512541406325.bzip2.complete.out,490968,237235,1091344856339
1-1512554202526.bzip2.complete.out,488602,246410,1564606418970
1-1512562580410.bzip2.complete.out,488912,159062,329529667351
1-1512571667105.bzip2.complete.out,489112,200938,393067002145
1-1512584125396.bzip2.complete.out,488966,238593,1346540241042
1-1512596561550.bzip2.complete.out,489757,241407,2236894096279
1-1512609293478.bzip2.complete.out,490065,241267,3190221622183
1-1513671282845.bzip2.complete.out,482332,210392,354845759162
1-1513685226559.bzip2.complete.out,481362,228303,608391300192
1-1513698189530.bzip2.complete.out,481591,222700,515970147923
1-1513710519823.bzip2.complete.out,481219,221207,524203679208
1-1513722979780.bzip2.complete.out,482199,224754,486680376265
